Filename,Count,CatchQuantity,CatchRecoverability,CatchSLOC,FlowHandlingActions,FlowHandlingStrategy,FlowQuantity,Invoked Methods,Try Quantity,5,TrySLOC
ZookeeperUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
ZookeeperFederationStateStore.java,6528,48,17,173,48,0.0,42.0,192.0,43,7.0,455
ZKRMStateStoreOpDurations.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
ZKRMStateStore.java,1177,6,1,21,6,0.0,5.0,42.0,10,1.0,89
ZKFederationStateStoreOpDurations.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
ZKConfigurationStore.java,492,5,0,17,5,0.0,5.0,21.0,7,9.0,47
ZKClient.java,264,4,4,12,4,1.0,4.0,7.0,4,5.0,23
YarnWebServiceUtils.java,288,1,3,11,1,0.0,1.0,12.0,2,4.0,24
YarnWebServiceParams.java,0,0,0,0,0,1.0,0.0,0.0,0,2.0,0
YarnWebParams.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
YarnVersionInfo.java,0,0,0,0,0,4.0,0.0,0.0,0,9.0,0
YarnUncaughtExceptionHandler.java,199,2,0,4,2,0.0,2.0,2.0,2,0.0,11
YarnTestDriver.java,106,2,0,6,2,0.0,2.0,5.0,2,2.0,12
YarnServiceConstants.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
YarnServiceConf.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
YarnServiceClient.java,935,7,0,21,7,0.0,7.0,57.0,7,9.0,92
YarnServerSecurityUtils.java,423,2,1,9,2,1.0,2.0,7.0,2,4.0,22
YarnServerBuilderUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
YarnScheduler.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
YarnRuntimeType.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
YarnRuntimeException.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
YarnRPC.java,68,1,1,3,1,0.0,1.0,2.0,1,2.0,5
YarnRegistryViewForProviders.java,53,1,0,3,1,0.0,1.0,1.0,1,2.0,5
YarnJacksonJaxbJsonProvider.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
YARNFeatureNotEnabledException.java,0,0,0,0,0,1.0,0.0,0.0,0,8.0,0
YarnException.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
YARNDelegationTokenIdentifierPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
YARNDelegationTokenIdentifier.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
YarnConfStoreVersionIncompatibleException.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
YarnConfigurationStoreFactory.java,0,0,0,0,0,2.0,0.0,0.0,0,6.0,0
YarnConfigurationStore.java,0,0,0,0,0,2.0,0.0,0.0,0,4.0,0
YarnConfiguration.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
YarnClusterMetricsPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
YarnClusterMetrics.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
YarnClientUtils.java,129,1,1,4,1,0.0,1.0,11.0,1,8.0,27
YarnClientImpl.java,5874,20,16,138,20,0.0,18.0,126.0,19,6.0,361
YarnClientApplication.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
YarnClient.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
YarnCLI.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
YarnAuthorizationProvider.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
YarnApplicationState.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
YarnApplicationAttemptState.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
XmlCustomResourceTypeTestCase.java,139,2,2,6,2,0.0,2.0,10.0,2,0.0,22
WritingHistoryEventType.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
WritingContainerStartEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
WritingContainerFinishEvent.java,0,0,0,0,0,1.0,0.0,0.0,0,3.0,0
WritingApplicationStartEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
WritingApplicationHistoryEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
WritingApplicationFinishEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
WritingApplicationAttemptStartEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
WritingApplicationAttemptFinishEvent.java,0,0,0,0,0,2.0,0.0,0.0,0,2.0,0
WrappedLogMetaRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
WorkflowPriorityMappingsManager.java,150,1,1,3,1,0.0,1.0,3.0,1,9.0,8
WorkerId.java,65,1,0,3,1,0.0,1.0,6.0,1,0.0,8
WorkAssignmentProtocol.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
WordLengthException.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
WindowsSecureContainerExecutor.java,738,5,1,17,5,0.0,5.0,29.0,7,7.0,71
WindowsResourceCalculatorPlugin.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
WindowsBasedProcessTree.java,268,3,0,9,3,1.0,3.0,16.0,3,1.0,30
WeightToWeightConverter.java,0,0,0,0,0,3.0,0.0,0.0,0,5.0,0
WeightToPercentConverter.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
WeightQueueCapacityCalculator.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
WeightedRandomRouterPolicy.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
WeightedPolicyInfo.java,365,4,2,13,4,0.0,4.0,10.0,4,0.0,30
WeightedLocalityPolicyManager.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
WeightConverterTestBase.java,0,0,0,0,0,1.0,0.0,0.0,0,8.0,0
WebServicesTestUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
WebServices.java,982,10,4,32,10,0.0,10.0,43.0,10,7.0,141
WebServiceClient.java,81,1,1,3,1,0.0,1.0,3.0,1,1.0,12
WebServer.java,147,1,1,5,1,0.0,1.0,14.0,1,7.0,23
WebPageUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
WebAppUtils.java,276,4,1,10,4,0.0,4.0,7.0,4,8.0,25
WebAppTests.java,198,3,3,9,3,0.0,3.0,10.0,3,2.0,20
WebApps.java,587,5,3,15,5,1.0,3.0,81.0,3,7.0,149
WebAppProxyServlet.java,435,4,2,11,4,0.0,4.0,66.0,5,0.0,181
WebAppProxyServer.java,60,1,0,3,1,0.0,1.0,3.0,1,0.0,8
WebAppProxy.java,321,3,2,10,3,0.0,3.0,21.0,3,6.0,34
WebAppException.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
WebApp.java,135,2,1,6,2,0.0,2.0,7.0,2,3.0,12
VolumeStates.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
VolumeState.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
VolumeSpec.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
VolumeProvisioningTask.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
VolumeProvisioningResults.java,0,0,0,0,0,1.0,0.0,0.0,0,2.0,0
VolumeProvisioningException.java,0,0,0,0,0,1.0,0.0,0.0,0,5.0,0
VolumeProvisioner.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
VolumeMetaData.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
VolumeManagerImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
VolumeManager.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
VolumeImpl.java,397,2,0,7,2,0.0,2.0,33.0,5,7.0,68
VolumeId.java,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0
VolumeException.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
VolumeEventType.java,0,0,0,0,0,4.0,0.0,0.0,0,2.0,0
VolumeEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
VolumeCapabilityRange.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
VolumeBuilder.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
VolumeAMSProcessor.java,209,1,1,4,1,0.0,1.0,4.0,1,1.0,11
Volume.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
VisualizeStateMachine.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
