Filename,Invoked Methods
ZookeeperUtils.java,0
ZookeeperFederationStateStore.java,192
ZKRMStateStoreOpDurations.java,0
ZKRMStateStore.java,42
ZKFederationStateStoreOpDurations.java,0
ZKConfigurationStore.java,21
ZKClient.java,7
YarnWebServiceUtils.java,12
YarnWebServiceParams.java,0
YarnWebParams.java,0
YarnVersionInfo.java,0
YarnUncaughtExceptionHandler.java,2
YarnTestDriver.java,5
YarnServiceConstants.java,0
YarnServiceConf.java,0
YarnServiceClient.java,57
YarnServerSecurityUtils.java,7
YarnServerBuilderUtils.java,0
YarnScheduler.java,0
YarnRuntimeType.java,0
YarnRuntimeException.java,0
YarnRPC.java,2
YarnRegistryViewForProviders.java,1
YarnJacksonJaxbJsonProvider.java,0
YARNFeatureNotEnabledException.java,0
YarnException.java,0
YARNDelegationTokenIdentifierPBImpl.java,0
YARNDelegationTokenIdentifier.java,0
YarnConfStoreVersionIncompatibleException.java,0
YarnConfigurationStoreFactory.java,0
YarnConfigurationStore.java,0
YarnConfiguration.java,0
YarnClusterMetricsPBImpl.java,0
YarnClusterMetrics.java,0
YarnClientUtils.java,11
YarnClientImpl.java,126
YarnClientApplication.java,0
YarnClient.java,0
YarnCLI.java,0
YarnAuthorizationProvider.java,0
YarnApplicationState.java,0
YarnApplicationAttemptState.java,0
XmlCustomResourceTypeTestCase.java,10
WritingHistoryEventType.java,0
WritingContainerStartEvent.java,0
WritingContainerFinishEvent.java,0
WritingApplicationStartEvent.java,0
WritingApplicationHistoryEvent.java,0
WritingApplicationFinishEvent.java,0
WritingApplicationAttemptStartEvent.java,0
WritingApplicationAttemptFinishEvent.java,0
WrappedLogMetaRequest.java,0
WorkflowPriorityMappingsManager.java,3
WorkerId.java,6
WorkAssignmentProtocol.java,0
WordLengthException.java,0
WindowsSecureContainerExecutor.java,29
WindowsResourceCalculatorPlugin.java,0
WindowsBasedProcessTree.java,16
WeightToWeightConverter.java,0
WeightToPercentConverter.java,0
WeightQueueCapacityCalculator.java,0
WeightedRandomRouterPolicy.java,0
WeightedPolicyInfo.java,10
WeightedLocalityPolicyManager.java,0
WeightConverterTestBase.java,0
WebServicesTestUtils.java,0
WebServices.java,43
WebServiceClient.java,3
WebServer.java,14
WebPageUtils.java,0
WebAppUtils.java,7
WebAppTests.java,10
WebApps.java,81
WebAppProxyServlet.java,66
WebAppProxyServer.java,3
WebAppProxy.java,21
WebAppException.java,0
WebApp.java,7
VolumeStates.java,0
VolumeState.java,0
VolumeSpec.java,0
VolumeProvisioningTask.java,0
VolumeProvisioningResults.java,0
VolumeProvisioningException.java,0
VolumeProvisioner.java,0
VolumeMetaData.java,0
VolumeManagerImpl.java,0
VolumeManager.java,0
VolumeImpl.java,33
VolumeId.java,0
VolumeException.java,0
VolumeEventType.java,0
VolumeEvent.java,0
VolumeCapabilityRange.java,0
VolumeBuilder.java,0
VolumeAMSProcessor.java,4
Volume.java,0
VisualizeStateMachine.java,0
VisitedResourceRequestTracker.java,0
View.java,4
VersionPBImpl.java,0
Version.java,0
VerificationException.java,0
VEDeviceDiscoverer.java,38
VariableContext.java,0
