CatchAndDoNothing,CatchAndReturnNull,CatchLOC,CatchQuantity,CatchRecoverability,CatchSLOC,DummyCatch,ExceptionHandlingStrategy,FlowHandlingActions,FlowQuantity,IncompleteImplementation,Invoked Methods,LogAndThrow,OverCatch,ThrowKitchenSink,Try Quantity,5,TrySLOC
312.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,6.0,1.0,0,8.0,0
14.0,4.0,6528,48,17,173,19,0.0,48,42.0,0.0,192.0,6.0,1.0,6.0,43,7.0,455
142.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,3.0,0
1.0,1.0,1177,6,1,21,3,0.0,6,5.0,1.0,42.0,1.0,5.0,4.0,10,1.0,89
1.0,3.0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,1.0,8.0,0,5.0,0
147.0,8.0,492,5,0,17,3,0.0,5,5.0,1.0,21.0,0.0,3.0,8.0,7,9.0,47
0.0,1.0,264,4,4,12,4,1.0,4,4.0,1.0,7.0,0.0,5.0,5.0,4,5.0,23
48.0,9.0,288,1,3,11,1,0.0,1,1.0,1.0,12.0,1.0,9.0,0.0,2,4.0,24
10.0,6.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,8.0,7.0,0,2.0,0
36.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,2.0,7.0,0,2.0,0
28.0,2.0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,9.0,0
0.0,3.0,199,2,0,4,2,0.0,2,2.0,0.0,2.0,1.0,5.0,3.0,2,0.0,11
152.0,3.0,106,2,0,6,2,0.0,2,2.0,0.0,5.0,0.0,4.0,2.0,2,2.0,12
10.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,6.0,6.0,0,7.0,0
247.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,0.0,3.0,0,3.0,0
47.0,8.0,935,7,0,21,7,0.0,7,7.0,1.0,57.0,0.0,3.0,9.0,7,9.0,92
28.0,1.0,423,2,1,9,0,1.0,2,2.0,0.0,7.0,0.0,2.0,2.0,2,4.0,22
0.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,2.0,2.0,0,9.0,0
5.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,9.0,6.0,0,0.0,0
5.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,9.0,5.0,0,3.0,0
0.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,7.0,0,6.0,0
154.0,9.0,68,1,1,3,1,0.0,1,1.0,0.0,2.0,0.0,2.0,2.0,1,2.0,5
152.0,9.0,53,1,0,3,1,0.0,1,1.0,0.0,1.0,0.0,4.0,0.0,1,2.0,5
15.0,1.0,0,0,0,0,0,0.0,0,0.0,2.0,0.0,6.0,2.0,2.0,0,1.0,0
0.0,6.0,0,0,0,0,0,1.0,0,0.0,1.0,0.0,6.0,2.0,3.0,0,8.0,0
44.0,6.0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,9.0,5.0,0,4.0,0
48.0,6.0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,6.0,8.0,3.0,0,7.0,0
0.0,7.0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,1.0,3.0,4.0,0,9.0,0
25.0,4.0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,1.0,6.0,8.0,0,3.0,0
119.0,3.0,0,0,0,0,0,2.0,0,0.0,1.0,0.0,6.0,2.0,6.0,0,6.0,0
32.0,9.0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,6.0,0.0,9.0,0,4.0,0
268.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0,9.0,0
0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,7.0,3.0,0,3.0,0
1.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,5.0,2.0,0,9.0,0
0.0,4.0,129,1,1,4,0,0.0,1,1.0,0.0,11.0,0.0,1.0,7.0,1,8.0,27
6.0,0.0,5874,20,16,138,9,0.0,20,18.0,0.0,126.0,0.0,3.0,2.0,19,6.0,361
0.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,3.0,0,1.0,0
28.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,4.0,0,2.0,0
20.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,4.0,0,9.0,0
44.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,6.0,8.0,0,9.0,0
15.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,5.0,0,9.0,0
263.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,4.0,0,8.0,0
13.0,0.0,139,2,2,6,2,0.0,2,2.0,0.0,10.0,6.0,9.0,0.0,2,0.0,22
50.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,3.0,0,2.0,0
16.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,9.0,2.0,0,8.0,0
14.0,6.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,5.0,7.0,0,3.0,0
310.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,8.0,4.0,0,7.0,0
3.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,8.0,0,2.0,0
157.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,8.0,0,5.0,0
29.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,7.0,1.0,0,0.0,0
147.0,6.0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,0.0,6.0,1.0,0,2.0,0
0.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,6.0,1.0,0,7.0,0
154.0,6.0,150,1,1,3,1,0.0,1,1.0,0.0,3.0,0.0,8.0,3.0,1,9.0,8
28.0,9.0,65,1,0,3,1,0.0,1,1.0,0.0,6.0,6.0,0.0,6.0,1,0.0,8
39.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,9.0,2.0,0,7.0,0
16.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,7.0,0,9.0,0
28.0,1.0,738,5,1,17,5,0.0,5,5.0,0.0,29.0,1.0,2.0,0.0,7,7.0,71
3.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,2.0,1.0,0,8.0,0
2.0,6.0,268,3,0,9,3,1.0,3,3.0,0.0,16.0,6.0,9.0,8.0,3,1.0,30
312.0,3.0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0.0,4.0,8.0,0,5.0,0
16.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
2.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,7.0,4.0,0,4.0,0
9.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,3.0,4.0,0,2.0,0
28.0,2.0,365,4,2,13,3,0.0,4,4.0,0.0,10.0,0.0,0.0,3.0,4,0.0,30
12.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,6.0,8.0,0,8.0,0
26.0,1.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0,8.0,0
12.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,6.0,6.0,0,2.0,0
8.0,2.0,982,10,4,32,9,0.0,10,10.0,0.0,43.0,1.0,3.0,1.0,10,7.0,141
0.0,8.0,81,1,1,3,1,0.0,1,1.0,0.0,3.0,6.0,5.0,7.0,1,1.0,12
79.0,4.0,147,1,1,5,0,0.0,1,1.0,0.0,14.0,0.0,6.0,2.0,1,7.0,23
5.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,5.0,4.0,0,8.0,0
12.0,8.0,276,4,1,10,4,0.0,4,4.0,0.0,7.0,0.0,0.0,8.0,4,8.0,25
10.0,0.0,198,3,3,9,3,0.0,3,3.0,0.0,10.0,6.0,4.0,1.0,3,2.0,20
14.0,8.0,587,5,3,15,5,1.0,5,3.0,0.0,81.0,6.0,5.0,9.0,3,7.0,149
311.0,4.0,435,4,2,11,4,0.0,4,4.0,0.0,66.0,6.0,7.0,7.0,5,0.0,181
10.0,1.0,60,1,0,3,1,0.0,1,1.0,0.0,3.0,6.0,6.0,7.0,1,0.0,8
16.0,4.0,321,3,2,10,1,0.0,3,3.0,0.0,21.0,1.0,1.0,1.0,3,6.0,34
43.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,5.0,7.0,0,7.0,0
147.0,3.0,135,2,1,6,2,0.0,2,2.0,0.0,7.0,1.0,9.0,0.0,2,3.0,12
28.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,1.0,0,6.0,0
21.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,9.0,0,4.0,0
1.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,2.0,0,2.0,0
0.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,7.0,0,5.0,0
21.0,3.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,8.0,4.0,0,2.0,0
28.0,2.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,6.0,3.0,0,5.0,0
12.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,6.0,8.0,0,6.0,0
268.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,4.0,0,5.0,0
311.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,8.0,0,0.0,0
5.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0,0.0,0
45.0,9.0,397,2,0,7,1,0.0,2,2.0,0.0,33.0,0.0,4.0,2.0,5,7.0,68
104.0,9.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,6.0,7.0,2.0,0,0.0,0
12.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,8.0,0,3.0,0
2.0,5.0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,6.0,0.0,9.0,0,2.0,0
2.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,5.0,0,2.0,0
4.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,5.0,7.0,0,0.0,0
180.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,6.0,0,5.0,0
2.0,7.0,209,1,1,4,0,0.0,1,1.0,0.0,4.0,1.0,1.0,9.0,1,1.0,11
